

------------------------------------------------------------
Application started
11:42:02.961: (I) 13732: main::lambda()                          : Internet STATUS: false
11:42:02.962: (I) 13732: main::lambda()                          : Internet STATUS: true
12:32:01.374: (I) 13732: main::lambda()                          : Internet STATUS: false
12:32:01.374: (I) 13732: main::lambda()                          : Internet STATUS: true
12:32:01.374: (I) 13732: main::lambda()                          : Internet STATUS: false
12:32:01.374: (I) 13732: main::lambda()                          : Internet STATUS: true
12:32:01.374: (I) 13732: main::lambda()                          : Internet STATUS: false
12:32:01.374: (I) 13732: main::lambda()                          : Internet STATUS: true
12:32:01.374: (I) 13732: main::lambda()                          : Internet STATUS: false
12:32:01.374: (I) 13732: main::lambda()                          : Internet STATUS: true
12:32:01.374: (I) 13732: main::lambda()                          : Internet STATUS: false
12:32:01.374: (I) 13732: main::lambda()                          : Internet STATUS: true
12:32:01.407: (I) 13732: main::lambda()                          : Internet STATUS: false
12:32:01.407: (I) 13732: main::lambda()                          : Internet STATUS: true
12:32:01.407: (I) 13732: main::lambda()                          : Internet STATUS: false
12:32:01.407: (I) 13732: main::lambda()                          : Internet STATUS: true
12:32:01.407: (I) 13732: main::lambda()                          : Internet STATUS: false
12:32:01.407: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:12.449: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:12.763: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:12.763: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:12.763: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:12.763: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:12.810: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:12.810: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:12.826: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:12.826: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:12.905: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:12.905: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:12.905: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:12.905: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:12.952: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:12.952: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:12.952: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:12.987: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:12.987: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:12.987: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.030: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.046: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.046: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.046: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.046: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.046: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.046: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.046: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.061: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.061: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.077: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.077: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.077: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.093: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.093: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.109: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.109: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.124: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.124: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.124: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.124: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.124: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.140: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.140: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.140: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.140: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.140: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.156: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.156: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.156: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.156: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.156: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.171: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.171: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.171: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.171: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.171: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.171: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.171: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.171: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.187: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.187: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.187: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.187: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.187: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.187: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.187: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.203: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.203: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.203: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.203: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.203: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.203: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.203: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.203: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.203: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.203: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.203: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.203: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.218: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.218: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.218: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.218: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.218: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.218: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.218: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.218: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.218: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.218: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.218: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.218: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.218: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.218: (I) 13732: main::lambda()                          : Internet STATUS: true
14:10:13.234: (I) 13732: main::lambda()                          : Internet STATUS: false
14:10:13.234: (I) 13732: main::lambda()                          : Internet STATUS: true
13:55:28.139: (I) 13732: main::lambda()                          : Internet STATUS: false
13:55:29.665: (I) 13732: main::lambda()                          : Internet STATUS: false
13:55:49.069: (I) 13732: main::lambda()                          : Internet STATUS: false
13:56:01.371: (I) 13732: main::lambda()                          : Internet STATUS: false
13:56:25.443: (I) 13732: main::lambda()                          : Internet STATUS: false
13:56:34.068: (I) 13732: main::lambda()                          : Internet STATUS: false
13:57:03.937: (I) 13732: main::lambda()                          : Internet STATUS: true
14:16:22.892: (I) 13732: main::lambda()                          : Internet STATUS: false
14:16:22.895: (I) 13732: main::lambda()                          : Internet STATUS: false
14:16:24.042: (I) 13732: main::lambda()                          : Internet STATUS: false
14:16:25.009: (I) 13732: main::lambda()                          : Internet STATUS: true
16:12:07.914: (I) 13732: main::lambda()                          : Internet STATUS: false
16:12:07.968: (I) 13732: main::lambda()                          : Internet STATUS: true
16:52:19.632: (I) 13732: main::lambda()                          : Internet STATUS: false
16:52:19.632: (I) 13732: main::lambda()                          : Internet STATUS: true
19:46:45.946: (I) 13732: main::lambda()                          : Internet STATUS: false
19:46:46.089: (I) 13732: main::lambda()                          : Internet STATUS: true
08:31:59.324: (I) 13732: main::lambda()                          : Internet STATUS: false
08:32:00.417: (I) 13732: main::lambda()                          : Internet STATUS: true
08:32:00.645: (I) 13732: main::lambda()                          : Internet STATUS: false
08:32:10.930: (I) 13732: main::lambda()                          : Internet STATUS: true
